x, y, z
2020-04-04 9:10:22,14008,298
2020-04-04 9:10:23,14007,298
2020-04-04 9:10:25,14008,294
2020-04-04 9:10:26,14008,292
2020-04-04 9:10:27,14009,292
2020-04-04 9:10:28,14007,289
2020-04-04 9:10:29,14007,293
2020-04-04 9:10:30,14005,292
2020-04-04 9:10:31,14005,290
2020-04-04 9:10:32,14005,286
2020-04-04 9:10:34,14003,283
2020-04-04 9:10:35,14001,281
2020-04-04 9:10:36,14003,288
2020-04-04 9:10:37,14002,298
2020-04-04 9:10:38,14004,295
2020-04-04 9:10:39,14001,291
2020-04-04 9:10:40,14002,295
2020-04-04 9:10:41,14000,298
2020-04-04 9:10:42,14001,298
2020-04-04 9:10:44,14001,291
2020-04-04 9:10:46,14000,283
2020-04-04 9:10:47,14001,281
2020-04-04 9:10:48,13999,288
2020-04-04 9:10:49,13999,288
2020-04-04 9:10:51,13998,283
2020-04-04 9:10:52,13997,281
2020-04-04 9:10:53,13996,280
2020-04-04 9:10:54,13996,282
2020-04-04 9:10:56,13996,278
2020-04-04 9:10:57,13996,282
2020-04-04 9:10:58,13997,283
2020-04-04 9:10:59,13997,283
2020-04-04 9:11:00,13997,281
2020-04-04 9:11:01,13997,278
2020-04-04 9:11:02,13997,274
2020-04-04 9:11:03,13997,281
2020-04-04 9:11:04,13998,281
2020-04-04 9:11:05,13999,285
2020-04-04 9:11:06,14000,288
2020-04-04 9:11:07,13999,285
2020-04-04 9:11:08,13999,283
2020-04-04 9:11:09,13998,282
2020-04-04 9:11:10,13998,281
2020-04-04 9:11:11,13997,280
2020-04-04 9:11:12,13998,276
2020-04-04 9:11:13,13996,276
2020-04-04 9:11:15,13997,272
2020-04-04 9:11:17,13997,266
2020-04-04 9:11:19,13998,263
2020-04-04 9:11:20,13997,261
2020-04-04 9:11:21,13997,260
2020-04-04 9:11:24,13999,249
2020-04-04 9:11:25,13997,244
2020-04-04 9:11:26,13997,241
2020-04-04 9:11:28,13997,238
2020-04-04 9:11:29,13997,237
2020-04-04 9:11:30,13997,234
2020-04-04 9:11:31,13996,237
2020-04-04 9:11:35,13997,224
2020-04-04 9:11:37,13998,233
2020-04-04 9:11:38,13998,231
2020-04-04 9:11:39,13996,238
2020-04-04 9:11:40,13997,247
2020-04-04 9:11:41,13995,250
2020-04-04 9:11:42,13996,249
2020-04-04 9:11:45,13995,242
2020-04-04 9:11:46,13994,247
2020-04-04 9:11:47,13994,259
2020-04-04 9:11:48,13995,258
2020-04-04 9:11:49,13996,257
2020-04-04 9:11:50,13995,254
2020-04-04 9:11:51,13994,254
2020-04-04 9:11:52,13995,260
2020-04-04 9:11:53,13996,266
